image_link,entity_name,entity_value,filename
https://m.media-amazon.com/images/I/617dL+lgq+L.jpg,height,12.5 centimetre,images/train/617dL+lgq+L.jpg
https://m.media-amazon.com/images/I/51NHvazso9L.jpg,depth,13.0 inch,images/train/51NHvazso9L.jpg
https://m.media-amazon.com/images/I/612KGQm+VmL.jpg,height,6.25 inch,images/train/612KGQm+VmL.jpg
https://m.media-amazon.com/images/I/61JTSA63VgS.jpg,item_weight,1 kilogram,images/train/61JTSA63VgS.jpg
https://m.media-amazon.com/images/I/71j+djqqtkL.jpg,item_weight,9.0 ounce,images/train/71j+djqqtkL.jpg
https://m.media-amazon.com/images/I/81SawW75eJL.jpg,item_weight,6.0 ton,images/train/81SawW75eJL.jpg
https://m.media-amazon.com/images/I/5199gInab4L.jpg,width,6.0 centimetre,images/train/5199gInab4L.jpg
https://m.media-amazon.com/images/I/81qPo7nFb3L.jpg,item_weight,100.0 gram,images/train/81qPo7nFb3L.jpg
https://m.media-amazon.com/images/I/51AEw0G2qiL.jpg,width,271.0 centimetre,images/train/51AEw0G2qiL.jpg
https://m.media-amazon.com/images/I/51P7GZOaoIL.jpg,height,143.0 millimetre,images/train/51P7GZOaoIL.jpg
https://m.media-amazon.com/images/I/51Qt4Vnx-SL.jpg,width,3.3 inch,images/train/51Qt4Vnx-SL.jpg
https://m.media-amazon.com/images/I/71bdMGhILrL.jpg,voltage,115.0 volt,images/train/71bdMGhILrL.jpg
https://m.media-amazon.com/images/I/51Pcxa7qQYL.jpg,depth,7.08 inch,images/train/51Pcxa7qQYL.jpg
https://m.media-amazon.com/images/I/61-D01YisuL.jpg,width,50.0 centimetre,images/train/61-D01YisuL.jpg
https://m.media-amazon.com/images/I/51cKQc9QYcL.jpg,width,3.1 inch,images/train/51cKQc9QYcL.jpg
https://m.media-amazon.com/images/I/71pKKsjFKvL.jpg,item_weight,210 gram,images/train/71pKKsjFKvL.jpg
https://m.media-amazon.com/images/I/51XMin2ashL.jpg,height,82.0 centimetre,images/train/51XMin2ashL.jpg
https://m.media-amazon.com/images/I/61CEWojMuoS.jpg,height,4.1 inch,images/train/61CEWojMuoS.jpg
https://m.media-amazon.com/images/I/41xsVDSehDL.jpg,height,10.0 centimetre,images/train/41xsVDSehDL.jpg
https://m.media-amazon.com/images/I/615Ne0smyBL.jpg,depth,40.0 centimetre,images/train/615Ne0smyBL.jpg
https://m.media-amazon.com/images/I/7176MPSBcQL.jpg,item_weight,"[13.0, 23.0] kilogram",images/train/7176MPSBcQL.jpg
https://m.media-amazon.com/images/I/718MzRObVQL.jpg,maximum_weight_recommendation,200.0 gram,images/train/718MzRObVQL.jpg
https://m.media-amazon.com/images/I/81nPHLhlA7S.jpg,item_weight,400 gram,images/train/81nPHLhlA7S.jpg
https://m.media-amazon.com/images/I/71Ay4GrCl-L.jpg,item_volume,50.0 millilitre,images/train/71Ay4GrCl-L.jpg
https://m.media-amazon.com/images/I/618aYxhr2EL.jpg,height,4.75 inch,images/train/618aYxhr2EL.jpg
https://m.media-amazon.com/images/I/81aKMCUdVPL.jpg,item_weight,100.0 gram,images/train/81aKMCUdVPL.jpg
https://m.media-amazon.com/images/I/71r5bOYbupL.jpg,item_weight,100.0 gram,images/train/71r5bOYbupL.jpg
https://m.media-amazon.com/images/I/81Ob6D6Dx5S.jpg,item_weight,500.0 milligram,images/train/81Ob6D6Dx5S.jpg
https://m.media-amazon.com/images/I/51PbCGrYkaL.jpg,height,240.0 centimetre,images/train/51PbCGrYkaL.jpg
https://m.media-amazon.com/images/I/61ExM8YWC+L.jpg,depth,12.0 inch,images/train/61ExM8YWC+L.jpg
https://m.media-amazon.com/images/I/71yiJtYRt+L.jpg,item_weight,2004.0 milligram,images/train/71yiJtYRt+L.jpg
https://m.media-amazon.com/images/I/71KqAUugNNL.jpg,wattage,165.0 watt,images/train/71KqAUugNNL.jpg
https://m.media-amazon.com/images/I/71FdMHIvO9L.jpg,item_weight,1400.0 milligram,images/train/71FdMHIvO9L.jpg
https://m.media-amazon.com/images/I/41fDLApKeoL.jpg,height,64.0 centimetre,images/train/41fDLApKeoL.jpg
https://m.media-amazon.com/images/I/51VzxFj1zRL.jpg,item_weight,23 gram,images/train/51VzxFj1zRL.jpg
https://m.media-amazon.com/images/I/51YX952BBVL.jpg,height,10.0 centimetre,images/train/51YX952BBVL.jpg
https://m.media-amazon.com/images/I/516Z1NTGe4L.jpg,height,1.77 inch,images/train/516Z1NTGe4L.jpg
https://m.media-amazon.com/images/I/51x5aCBxGpL.jpg,depth,56.0 millimetre,images/train/51x5aCBxGpL.jpg
https://m.media-amazon.com/images/I/812r1Y25dJL.jpg,item_volume,8.0 fluid ounce,images/train/812r1Y25dJL.jpg
https://m.media-amazon.com/images/I/81tVfxKh9RL.jpg,item_weight,10.0 ounce,images/train/81tVfxKh9RL.jpg
https://m.media-amazon.com/images/I/71UuHUdmeoL.jpg,item_weight,500 gram,images/train/71UuHUdmeoL.jpg
https://m.media-amazon.com/images/I/71Z3JHffM9L.jpg,item_weight,240.0 gram,images/train/71Z3JHffM9L.jpg
https://m.media-amazon.com/images/I/517iXUMbsdL.jpg,item_weight,2.262 gram,images/train/517iXUMbsdL.jpg
https://m.media-amazon.com/images/I/51J7WCzIazL.jpg,height,87.0 centimetre,images/train/51J7WCzIazL.jpg
https://m.media-amazon.com/images/I/41w9QEe8DBL.jpg,height,16.0 centimetre,images/train/41w9QEe8DBL.jpg
https://m.media-amazon.com/images/I/619XXMQ1KvL.jpg,width,18.0 inch,images/train/619XXMQ1KvL.jpg
https://m.media-amazon.com/images/I/71xs8l-cydL.jpg,item_weight,150.0 kilogram,images/train/71xs8l-cydL.jpg
