labels,predictions
6.5 kilogram,200. 0 millilitre
96.0 watt,10. 0 centimetre
230.0 millimetre,5. 0 volt
10.0 centimetre,12. 0 centimetre
60.0 watt,"[ 220. 0, 240. 0 ] volt"
13.5 centimetre,6. 0 centimetre
24.0 centimetre,10. 0 centimetre
1.42 inch,6. 0 centimetre
35 gram,100. 0 gram
59.0 centimetre,6. 0 centimetre
701.0 ounce,12. 0 centimetre
4.23 fluid ounce,12. 0 volt
4.5 pound,100. 0 gram
76.5 millimetre,6. 0 centimetre
16.73 inch,10. 0 kilogram
10.3 inch,6. 0 centimetre
320.0 gram,"[ 220. 0, 240. 0 ] volt"
11.5 centimetre,10. 0 centimetre
2.55 inch,10. 0 millimetre
1000.0 milligram,100. 0 gram
11.5 centimetre,10. 0 centimetre
3.5 inch,10. 0 gram
330.0 pound,12. 0 volt
17.0 centimetre,6. 0 centimetre
57.0 gram,100. 0 gram
30.0 centimetre,6. 0 centimetre
28.0 centimetre,6. 0 centimetre
50.7 pound,"[ 220. 0, 240. 0 ] volt"
11.2 inch,12. 0 centimetre
7.14 gram,6. 0 centimetre
300.0 gram,10. 0 centimetre
16.0 centimetre,10. 0 centimetre
29.5 centimetre,6. 0 gram
4.5 inch,12. 0 centimetre
400.0 millimetre,5. 0 volt
9.0 inch,6. 0 centimetre
36 gram,100. 0 gram
1000.0 gram,100. 0 gram
6.5 centimetre,200. 0 millilitre
5.0 volt,10. 0 centimetre
20.0 centimetre,12. 0 centimetre
"[175.0, 265.0] volt",6. 0 centimetre
9.8 inch,10. 0 centimetre
20.0 centimetre,10. 0 centimetre
110.0 centimetre,6. 0 centimetre
50.0 milligram,500. 0 milligram
5.0 volt,100. 0 gram
1.0 gram,100. 0 gram
20.0 centimetre,10. 0 millimetre
5.0 inch,10. 0 millimetre
42 gram,5. 0 gram
5 gram,100. 0 gram
6.0 millimetre,10. 0 centimetre
21.0 millimetre,10. 0 centimetre
1.5 kilogram,100. 0 gram
20 gram,"[ 220. 0, 240. 0 ] volt"
250.0 gram,500. 0 milligram
42.0 centimetre,5. 0 volt
16.0 centimetre,6. 0 centimetre
330.0 gram,6. 0 centimetre
12.0 centimetre,100. 0 gram
25.1 inch,6. 0 centimetre
5.0 watt,6. 0 centimetre
12.0 inch,6. 0 centimetre
16.0 ounce,"[ 220. 0, 240. 0 ] volt"
120.0 millilitre,5. 0 gram
30 pound,6. 0 centimetre
25.0 millilitre,100. 0 gram
4.5 centimetre,6. 0 centimetre
0.33 kilogram,5. 0 volt
9 gram,10. 0 centimetre
23.0 inch,6. 0 centimetre
"[5.5, 12.0] volt",12. 0 centimetre
5.2 inch,6. 0 centimetre
100.0 centimetre,5. 0 volt
1.0 millilitre,100. 0 gram
17.7 inch,6. 0 centimetre
1.0 kilogram,10. 0 centimetre
1.0 kilogram,8. 0 centimetre
40.0 centimetre,10. 0 centimetre
1.18 inch,10. 0 centimetre
5.5 centimetre,6. 0 centimetre
100.0 gram,100. 0 gram
100 gram,100. 0 gram
20.0 centimetre,"[ 220. 0, 240. 0 ] volt"
27 kilogram,"[ 220. 0, 240. 0 ] volt"
290.0 millimetre,10. 0 gram
8.0 ounce,12. 0 centimetre
0.9 inch,10. 0 centimetre
200.0 gram,"[ 220. 0, 240. 0 ] volt"
24.0 millimetre,100. 0 gram
10.0 gram,200. 0 millilitre
44.0 pound,100. 0 gram
15 gram,5. 0 gram
14.0 centimetre,6. 0 centimetre
200.0 millimetre,6. 0 centimetre
1.08 ounce,100. 0 gram
5.0 volt,5. 0 volt
11.5 centimetre,12. 0 centimetre
20.0 volt,12. 0 volt
10.7 gram,6. 0 centimetre
50.0 centimetre,12. 0 centimetre
25.0 gram,100. 0 gram
3.74 inch,6. 0 centimetre
100.0 gram,100. 0 gram
45.0 centimetre,6. 0 centimetre
8.0 inch,6. 0 centimetre
3.5 ounce,500. 0 milligram
1.0 litre,100. 0 gram
26.0 centimetre,5. 0 centimetre
100.0 gram,100. 0 gram
390.0 millimetre,10. 0 millimetre
340.0 gram,100. 0 gram
14.0 inch,12. 0 centimetre
24.0 millimetre,10. 0 gram
81.5 centimetre,10. 0 millimetre
1.27 ounce,10. 0 centimetre
30.5 centimetre,12. 0 centimetre
120.0 centimetre,6. 0 centimetre
455.0 millimetre,6. 0 centimetre
1.0 litre,8. 0 centimetre
265.0 millimetre,10. 0 millimetre
5000.0 microgram,100. 0 gram
18.2 centimetre,6. 0 centimetre
12.0 inch,5. 0 centimetre
90.0 centimetre,10. 0 millimetre
36.0 millimetre,6. 0 centimetre
3 kilogram,10. 0 kilogram
400.0 millimetre,6. 0 centimetre
40.0 watt,10. 0 kilogram
13.5 centimetre,6. 0 centimetre
12.0 volt,5. 0 gram
250 gram,100. 0 gram
40.0 centimetre,6. 0 centimetre
5.0 centimetre,6. 0 centimetre
780.0 millimetre,6. 0 centimetre
"[220.0, 240.0] volt",100. 0 gram
5.0 watt,5. 0 volt
4.33 inch,9. 0 centimetre
4.5 centimetre,6. 0 centimetre
22.5 centimetre,10. 0 centimetre
2009.0 microgram,6. 0 centimetre
500 gram,100. 0 gram
27.5 centimetre,100. 0 gram
250.0 watt,"[ 220. 0, 240. 0 ] volt"
5.0 volt,"[ 220. 0, 240. 0 ] volt"
4.3 gram,8. 0 centimetre
2.0 gram,10. 0 centimetre
10.0 gram,100. 0 gram
19.0 centimetre,6. 0 centimetre
400.0 gram,6. 0 centimetre
240.0 millimetre,6. 0 centimetre
11.75 inch,6. 0 centimetre
200 gram,100. 0 gram
75.0 pound,6. 0 centimetre
23.0 centimetre,6. 0 centimetre
5000.0 milligram,100. 0 gram
263.0 gram,12. 0 centimetre
0.5 volt,10. 0 centimetre
12.5 litre,100. 0 gram
100 gram,8. 0 centimetre
2.02 pound,6. 0 centimetre
5.0 centimetre,6. 0 centimetre
6.0 centimetre,10. 0 millimetre
3.7 inch,5. 0 volt
24.5 centimetre,500. 0 milligram
5.0 volt,10. 0 centimetre
245.0 millimetre,6. 0 centimetre
13.4 inch,6. 0 centimetre
240.0 millimetre,6. 0 centimetre
54 gram,10. 0 centimetre
7.4 inch,10. 0 millimetre
12.0 inch,6. 0 centimetre
10.0 watt,12. 0 volt
150 gram,100. 0 gram
35.43 inch,6. 0 centimetre
2300.0 gram,5. 0 centimetre
5.57 ounce,500. 0 milligram
58.0 centimetre,10. 0 millimetre
5.0 gram,12. 0 centimetre
470.0 millimetre,100. 0 gram
22.0 centimetre,12. 0 centimetre
1000.0 gram,10. 0 centimetre
14.0 centimetre,100. 0 gram
14.0 inch,5. 0 volt
