labels,predictions
6.5 kilogram,10 lbs
96.0 watt,0. 5
230.0 millimetre,10 inches
10.0 centimetre,6 inches
60.0 watt,120
13.5 centimetre,6 inches
24.0 centimetre,10 inches
1.42 inch,6 inches
35 gram,10 lbs
59.0 centimetre,10 inches
701.0 ounce,heavy
4.23 fluid ounce,10 oz
4.5 pound,10 lbs
76.5 millimetre,6 inches
16.73 inch,6 inches
10.3 inch,10 inches
320.0 gram,300 lbs
11.5 centimetre,6 feet
2.55 inch,6 feet
1000.0 milligram,10 oz
11.5 centimetre,6 feet
3.5 inch,6 inches
330.0 pound,200 lbs
17.0 centimetre,6 inches
57.0 gram,1. 5 kg
30.0 centimetre,6 inches
28.0 centimetre,5 feet
50.7 pound,10 lbs
11.2 inch,6 inches
7.14 gram,10 lbs
300.0 gram,10 lbs
16.0 centimetre,6 inches
29.5 centimetre,6 inches
4.5 inch,12 inches
400.0 millimetre,10 feet
9.0 inch,10 inches
36 gram,80 lbs
1000.0 gram,10 lbs
6.5 centimetre,10 inches
5.0 volt,0
20.0 centimetre,10 feet
"[175.0, 265.0] volt",1. 5
9.8 inch,15 feet
20.0 centimetre,10 inches
110.0 centimetre,12 inches
50.0 milligram,1. 5 lbs
5.0 volt,0
1.0 gram,200 lbs
20.0 centimetre,6 inches
5.0 inch,6 inches
42 gram,10 lbs
5 gram,10 oz
6.0 millimetre,3 feet
21.0 millimetre,12 inches
1.5 kilogram,100 pounds
20 gram,100 lbs
250.0 gram,1. 5 lbs
42.0 centimetre,6 inches
16.0 centimetre,6 feet
330.0 gram,10 oz
12.0 centimetre,6 inches
25.1 inch,15 inches
5.0 watt,1. 5
12.0 inch,6 inches
16.0 ounce,100 lbs
120.0 millilitre,10 oz
30 pound,100 pounds
25.0 millilitre,10
4.5 centimetre,6 inches
0.33 kilogram,100 lbs
9 gram,100 pounds
23.0 inch,6 inches
"[5.5, 12.0] volt",1. 5
5.2 inch,6 inches
100.0 centimetre,10 feet
1.0 millilitre,1
17.7 inch,12 inches
1.0 kilogram,10 lbs
1.0 kilogram,10 lbs
40.0 centimetre,12 inches
1.18 inch,3 feet
5.5 centimetre,6 inches
100.0 gram,100 lbs
100 gram,10 oz
20.0 centimetre,6 inches
27 kilogram,10 lbs
290.0 millimetre,10 inches
8.0 ounce,100 lbs
0.9 inch,6 inches
200.0 gram,10 oz
24.0 millimetre,6 inches
10.0 gram,10 oz
44.0 pound,heavy
15 gram,10 lbs
14.0 centimetre,10 inches
200.0 millimetre,3 feet
1.08 ounce,10 oz
5.0 volt,0
11.5 centimetre,6 inches
20.0 volt,1. 5
10.7 gram,10 pounds
50.0 centimetre,10 inches
25.0 gram,10 lbs
3.74 inch,5 feet
100.0 gram,10 oz
45.0 centimetre,10 feet
8.0 inch,6 inches
3.5 ounce,10 lbs
1.0 litre,2
26.0 centimetre,6 inches
100.0 gram,100 lbs
390.0 millimetre,10 feet
340.0 gram,10 lbs
14.0 inch,12 inches
24.0 millimetre,10 inches
81.5 centimetre,3 feet
1.27 ounce,10 oz
30.5 centimetre,it ' s drawing
120.0 centimetre,10 feet
455.0 millimetre,6 inches
1.0 litre,10 oz
265.0 millimetre,6 inches
5000.0 microgram,500 lbs
18.2 centimetre,6 inches
12.0 inch,12 inches
90.0 centimetre,10 inches
36.0 millimetre,6 inches
3 kilogram,100 lbs
400.0 millimetre,6 inches
40.0 watt,10000
13.5 centimetre,6 inches
12.0 volt,0
250 gram,250 ml
40.0 centimetre,6 inches
5.0 centimetre,6 inches
780.0 millimetre,10 feet
"[220.0, 240.0] volt",0
5.0 watt,25 mpg
4.33 inch,6 inches
4.5 centimetre,6 inches
22.5 centimetre,12 inches
2009.0 microgram,10 lbs
500 gram,10 lbs
27.5 centimetre,6 inches
250.0 watt,250
5.0 volt,1. 5
4.3 gram,10 pounds
2.0 gram,10 lbs
10.0 gram,10 lbs
19.0 centimetre,10 inches
400.0 gram,10 lbs
240.0 millimetre,6 inches
11.75 inch,12 inches
200 gram,1. 5 lbs
75.0 pound,200 lbs
23.0 centimetre,6 inches
5000.0 milligram,100 pounds
263.0 gram,100 lbs
0.5 volt,0
12.5 litre,15
100 gram,100 lbs
2.02 pound,10 oz
5.0 centimetre,10 inches
6.0 centimetre,3 feet
3.7 inch,6 inches
24.5 centimetre,6 feet
5.0 volt,10 volt
245.0 millimetre,4 feet
13.4 inch,12 inches
240.0 millimetre,6 inches
54 gram,10 lbs
7.4 inch,6 inches
12.0 inch,6 inches
10.0 watt,1. 5
150 gram,10 oz
35.43 inch,10 feet
2300.0 gram,200 lbs
5.57 ounce,50 pounds
58.0 centimetre,10 feet
5.0 gram,100 pounds
470.0 millimetre,10 inches
22.0 centimetre,6 inches
1000.0 gram,100 pounds
14.0 centimetre,10 inches
14.0 inch,6 inches
3.3 inch,12 inches
72.0 inch,10 feet
4.5 kilogram,10 lbs
15.0 inch,6 inches
26.9 centimetre,6 inches
260.0 millimetre,4 feet
70.0 centimetre,6 inches
14 gram,10 lbs
2.8 inch,6 inches
708.0 gram,10 lbs
58.0 centimetre,10 feet
4.5 watt,100
8.0 inch,6 inches
188.0 millimetre,15 inches
45.0 centimetre,6 inches
660.0 watt,100w
2.71 inch,12 inches
55.0 gram,55 pounds
650.0 gram,50 lbs
405.0 gram,10 lbs
10.6 centimetre,6 inches
80.0 centimetre,10 feet
3.52 ounce,100 lbs
10.0 gram,10 pounds
22.0 centimetre,6 inches
10.12 inch,10 feet
500.0 gram,heavy
6.6 centimetre,6 inches
15.0 centimetre,12 inches
19.0 inch,6 inches
340.0 gram,10 lbs
159.8 millimetre,6 inches
2.75 gram,25 pounds
600.0 milligram,100 pounds
10.0 gram,100 lbs
30.0 centimetre,6 inches
7.0 centimetre,8 inches
100.0 gram,10 lbs
400.0 ounce,500 lbs
500.0 gram,100 lbs
100.0 watt,4
120.0 gram,100 lbs
13.0 centimetre,6 inches
26.0 inch,6 inches
11.8 inch,12 inches
20.5 centimetre,6 inches
6700.0 milligram,10 lbs
200 gram,20 lbs
120.0 centimetre,6 inches
21.0 centimetre,12 inches
5.9 centimetre,6 feet
10.2 inch,6 inches
250.0 millilitre,25
31.0 centimetre,6 inches
40.0 centimetre,6 inches
8.0 pound,100 lbs
9.7 centimetre,6 inches
10.5 centimetre,6 inches
6.5 inch,6 inches
500.0 gram,10 lbs
324.0 millimetre,6 inches
2.0 pound,10 lbs
8.0 inch,2 feet
98.0 centimetre,6 inches
3.5 centimetre,6 inches
65.0 centimetre,10 inches
17.0 inch,12 inches
1.37 inch,6 inches
120.0 gram,10 oz
35.0 watt,500w
48.0 centimetre,6 inches
269.0 centimetre,10 feet
100.0 gram,100
24.0 inch,6 inches
50.0 millimetre,6 feet
6.0 inch,6 inches
300.0 milligram,10 oz
30.0 centimetre,6 feet
82.6 inch,6 feet
60.0 centimetre,8 feet
157 gram,100 lbs
3.5 inch,6 inches
50.0 centimetre,10 inches
4.0 ounce,12 oz
230.0 millimetre,6 inches
2.47 ounce,10 lbs
220.0 volt,0
700.0 microgram,10 lbs
0.82 inch,10 feet
36.0 volt,100 mph
50.0 centimetre,10 inches
22.0 centimetre,6 inches
32.0 centimetre,6 inches
140.0 centimetre,6 inches
31.7 gram,100 pounds
12.8 inch,10 feet
10.582 ounce,10 lbs
4.0 fluid ounce,10 oz
12.6 inch,6 inches
8.0 centimetre,6 inches
200 gram,10 lbs
16.5 centimetre,6 inches
25 gram,10 oz
14.5 centimetre,12 inches
12 kilogram to 25 kilogram,10 lbs
1.8 inch,2 feet
65.5 centimetre,6 feet
27.6 inch,6 inches
57.3 centimetre,10 feet
665.0 gram,25 cm
2.0 gram,200 lbs
4.0 gram,100 pounds
3.5 inch,6 inches
2.68 metre,10 feet
2.0 inch,6 inches
20.5 centimetre,5 inches
22.5 centimetre,10 inches
190.0 ton,100 lbs
2.0 millilitre,10
48.0 volt,450w
3.0 gram,10 lbs
7.0 centimetre,12 inches
1000 gram,10 lbs
1000.0 milligram,1. 5 lbs
14.0 quart,11
12.0 watt,1500
14.0 centimetre,12 inches
100.0 gram,10 lbs
51310.0 gram,100 pounds
150.0 gram,10 lbs
80.0 centimetre,10 inches
770.0 gram,70
8.5 inch,6 inches
6.75 inch,6 inches
60.96 centimetre,6 inches
4.7 inch,6 feet
3.0 ton,10 lbs
17.0 pound,100 lbs
200.0 centimetre,6 inches
250.0 millilitre,10 ounces
7.0 ounce,10 lbs
246.0 centimetre,tall
9.4 inch,8 feet
16.0 inch,10 inches
437.0 millimetre,6 inches
150.0 centimetre,15 inches
160.0 centimetre,6 inches
1.0 centimetre,2 feet
76.0 millimetre,6 inches
260.0 gram,200 lbs
16.0 inch,6 inches
0.7 millilitre,15
142.0 gram,10 lbs
30.0 centimetre,10 inches
42.0 millimetre,12 inches
285.0 millimetre,4 feet
14.0 centimetre,6 feet
3.0 gram,10 lbs
8.6 inch,6 inches
39.2 inch,6 inches
35.0 centimetre,10 feet
69.0 watt,1. 5
